MGRS: 
NLCD: 41

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1196   0.0905   0.0036   0.7795   0.1645   0.8050    12080
        climo_mean   0.1041   0.0789   0.0008   0.8539   0.1074   0.8515    12080
      climo_median   0.1070   0.0763   0.0009   0.8681   0.0972   0.8437    12080
             conor   0.0967   0.0734   0.0005   0.9046   0.0701   0.8731    12080
     interp_clim_a   0.0985   0.0750   0.0022   0.8167   0.1360   0.8703    12080
     interp_clim_b   0.0993   0.0755   0.0028   0.8148   0.1379   0.8683    12080
     interp_clim_c   0.0989   0.0743   0.0022   0.8238   0.1309   0.8684    12080
       whit_a_0p50   0.1185   0.0897   0.0025   0.8185   0.1349   0.8079    12080
       whit_a_0p20   0.1171   0.0883   0.0020   0.8495   0.1119   0.8138    12080
       whit_a_0p10   0.1175   0.0886   0.0018   0.8635   0.1014   0.8137    12080
       whit_a_0p05   0.1186   0.0893   0.0016   0.8722   0.0948   0.8119    12080
       whit_a_0p01   0.1205   0.0908   0.0013   0.8807   0.0884   0.8075    12080

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1049   0.0803  -0.0198   0.7943   0.1564   0.8108    12080
        climo_mean   0.0933   0.0710   0.0007   0.8396   0.1381   0.8445    12080
      climo_median   0.0956   0.0688   0.0037   0.8483   0.1337   0.8370    12080
             conor   0.0823   0.0635   0.0001   0.9004   0.0854   0.8794    12080
     interp_clim_a   0.0864   0.0665  -0.0096   0.8169   0.1472   0.8715    12080
     interp_clim_b   0.0867   0.0667  -0.0095   0.8161   0.1480   0.8706    12080
     interp_clim_c   0.0868   0.0659  -0.0080   0.8213   0.1450   0.8692    12080
       whit_a_0p50   0.1048   0.0802  -0.0102   0.8134   0.1496   0.8057    12080
       whit_a_0p20   0.1025   0.0782  -0.0054   0.8389   0.1326   0.8135    12080
       whit_a_0p10   0.1023   0.0780  -0.0036   0.8509   0.1241   0.8147    12080
       whit_a_0p05   0.1028   0.0784  -0.0026   0.8584   0.1187   0.8138    12080
       whit_a_0p01   0.1040   0.0794  -0.0017   0.8657   0.1133   0.8106    12080

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1472   0.1118   0.0418   0.6906   0.2131   0.6048    12017
        climo_mean   0.1190   0.0910  -0.0011   0.7081   0.1605   0.7106    12017
      climo_median   0.1221   0.0876  -0.0057   0.7196   0.1496   0.6968    12017
             conor   0.1159   0.0883  -0.0019   0.7864   0.1164   0.7299    12017
