MGRS: 
NLCD: 90

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1140   0.0852   0.0005   0.8567   0.1064   0.8592    12608
        climo_mean   0.1122   0.0837  -0.0003   0.8654   0.0992   0.8635    12608
      climo_median   0.1160   0.0812  -0.0024   0.8806   0.0858   0.8548    12608
             conor   0.0964   0.0723  -0.0010   0.9217   0.0569   0.8997    12608
     interp_clim_a   0.0998   0.0751   0.0001   0.8610   0.1028   0.8932    12608
     interp_clim_b   0.1006   0.0754   0.0005   0.8602   0.1037   0.8914    12608
     interp_clim_c   0.1008   0.0744  -0.0009   0.8687   0.0961   0.8904    12608
       whit_a_0p50   0.1147   0.0855  -0.0002   0.8736   0.0933   0.8576    12608
       whit_a_0p20   0.1142   0.0847  -0.0004   0.8893   0.0814   0.8596    12608
       whit_a_0p10   0.1149   0.0850  -0.0005   0.8966   0.0759   0.8585    12608
       whit_a_0p05   0.1160   0.0858  -0.0006   0.9011   0.0725   0.8564    12608
       whit_a_0p01   0.1180   0.0873  -0.0008   0.9054   0.0691   0.8524    12608

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0934   0.0712  -0.0125   0.8978   0.0721   0.9095    12608
        climo_mean   0.0990   0.0733   0.0026   0.8975   0.0874   0.8963    12608
      climo_median   0.1021   0.0713   0.0028   0.9114   0.0761   0.8903    12608
             conor   0.0785   0.0598   0.0011   0.9525   0.0404   0.9351    12608
     interp_clim_a   0.0833   0.0633  -0.0049   0.8976   0.0798   0.9279    12608
     interp_clim_b   0.0834   0.0633  -0.0050   0.8975   0.0799   0.9277    12608
     interp_clim_c   0.0841   0.0628  -0.0048   0.9046   0.0741   0.9260    12608
       whit_a_0p50   0.0945   0.0717  -0.0055   0.9107   0.0684   0.9059    12608
       whit_a_0p20   0.0927   0.0702  -0.0023   0.9251   0.0597   0.9095    12608
       whit_a_0p10   0.0925   0.0701  -0.0011   0.9320   0.0551   0.9100    12608
       whit_a_0p05   0.0930   0.0705  -0.0005   0.9364   0.0521   0.9093    12608
       whit_a_0p01   0.0943   0.0715  -0.0001   0.9407   0.0490   0.9073    12608

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1390   0.1049   0.0254   0.7973   0.1511   0.7260    12551
        climo_mean   0.1245   0.0948  -0.0005   0.7603   0.1481   0.7667    12551
      climo_median   0.1286   0.0914  -0.0051   0.7724   0.1360   0.7518    12551
             conor   0.1150   0.0873  -0.0016   0.8368   0.0995   0.8025    12551
     interp_clim_a   0.1175   0.0896   0.0125   0.7788   0.1496   0.7947    12551
     interp_clim_b   0.1195   0.0906   0.0135   0.7776   0.1514   0.7877    12551
     interp_clim_c   0.1185   0.0887   0.0102   0.7849   0.1435   0.7902    12551
       whit_a_0p50   0.1386   0.1044   0.0147   0.7976   0.1402   0.7220    12551
       whit_a_0p20   0.1384   0.1040   0.0087   0.8087   0.1273   0.7228    12551
       whit_a_0p10   0.1396   0.1047   0.0060   0.8150   0.1207   0.7196    12551
       whit_a_0p05   0.1413   0.1059   0.0044   0.8194   0.1163   0.7151    12551
       whit_a_0p01   0.1440   0.1081   0.0029   0.8240   0.1120   0.7072    12551

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1512   0.1115   0.0270   0.7306   0.1773   0.6454    10639
        climo_mean   0.1351   0.1018   0.0031   0.6934   0.1742   0.6985    10639
      climo_median   0.1395   0.0976  -0.0036   0.7041   0.1615   0.6794    10639
             conor   0.1284   0.0955   0.0020   0.7787   0.1256   0.7306    10639
     interp_clim_a   0.1298   0.0966   0.0151   0.7120   0.1758   0.7255    10639
     interp_clim_b   0.1334   0.0985   0.0172   0.7095   0.1793   0.7105    10639
