MGRS: 15S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1136   0.0870   0.0001   0.8320   0.1232   0.8532     8448
        climo_mean   0.1217   0.0901   0.0019   0.8324   0.1247   0.8310     8448
      climo_median   0.1255   0.0864   0.0050   0.8576   0.1093   0.8222     8448
             conor   0.0983   0.0752   0.0001   0.9153   0.0621   0.8904     8448
     interp_clim_a   0.1029   0.0787   0.0010   0.8322   0.1239   0.8820     8448
     interp_clim_b   0.1029   0.0788   0.0011   0.8322   0.1240   0.8820     8448
     interp_clim_c   0.1036   0.0774   0.0025   0.8448   0.1163   0.8790     8448
       whit_a_0p50   0.1143   0.0873  -0.0001   0.8577   0.1042   0.8509     8448
       whit_a_0p20   0.1131   0.0860  -0.0001   0.8800   0.0879   0.8549     8448
       whit_a_0p10   0.1132   0.0860  -0.0001   0.8903   0.0802   0.8552     8448
       whit_a_0p05   0.1139   0.0864  -0.0001   0.8970   0.0754   0.8541     8448
       whit_a_0p01   0.1154   0.0876  -0.0001   0.9037   0.0704   0.8512     8448

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1011   0.0777  -0.0223   0.8550   0.1065   0.8627     8448
        climo_mean   0.1167   0.0854   0.0057   0.8014   0.1821   0.8083     8448
      climo_median   0.1212   0.0823   0.0146   0.8189   0.1754   0.7962     8448
             conor   0.0870   0.0662   0.0003   0.9126   0.0780   0.8935     8448
     interp_clim_a   0.0942   0.0718  -0.0083   0.8282   0.1443   0.8787     8448
     interp_clim_b   0.0942   0.0718  -0.0083   0.8283   0.1442   0.8788     8448
     interp_clim_c   0.0948   0.0704  -0.0039   0.8370   0.1410   0.8749     8448
       whit_a_0p50   0.1031   0.0783  -0.0119   0.8672   0.1060   0.8524     8448
       whit_a_0p20   0.1004   0.0762  -0.0066   0.8844   0.0961   0.8590     8448
       whit_a_0p10   0.0997   0.0757  -0.0044   0.8928   0.0908   0.8610     8448
       whit_a_0p05   0.0998   0.0759  -0.0032   0.8983   0.0871   0.8612     8448
       whit_a_0p01   0.1007   0.0767  -0.0021   0.9039   0.0833   0.8593     8448

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1258   0.0975   0.0249   0.7637   0.1597   0.7243     8447
        climo_mean   0.1289   0.0967   0.0019   0.6922   0.1775   0.6962     8447
      climo_median   0.1325   0.0931  -0.0007   0.7150   0.1619   0.6809     8447
             conor   0.1100   0.0845   0.0000   0.8242   0.1003   0.7812     8447
     interp_clim_a   0.1133   0.0873   0.0134   0.7280   0.1686   0.7711     8447
     interp_clim_b   0.1134   0.0873   0.0137   0.7285   0.1686   0.7707     8447
     interp_clim_c   0.1141   0.0862   0.0121   0.7394   0.1608   0.7657     8447
       whit_a_0p50   0.1249   0.0965   0.0134   0.7676   0.1460   0.7213     8447
