MGRS: 11S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0984   0.0696  -0.0008   0.8913   0.0381   0.8803     6025
        climo_mean   0.1187   0.0819  -0.0029   0.8231   0.0604   0.8255     6025
      climo_median   0.1238   0.0781  -0.0109   0.8511   0.0424   0.8133     6025
             conor   0.0873   0.0625  -0.0012   0.9266   0.0251   0.9061     6025
     interp_clim_a   0.0941   0.0675  -0.0019   0.8572   0.0493   0.8916     6025
     interp_clim_b   0.0944   0.0676  -0.0018   0.8572   0.0493   0.8910     6025
     interp_clim_c   0.0953   0.0659  -0.0058   0.8712   0.0403   0.8882     6025
       whit_a_0p50   0.0998   0.0703  -0.0008   0.8974   0.0359   0.8772     6025
       whit_a_0p20   0.0993   0.0698  -0.0008   0.9082   0.0321   0.8789     6025
       whit_a_0p10   0.0998   0.0703  -0.0007   0.9135   0.0302   0.8780     6025
       whit_a_0p05   0.1007   0.0710  -0.0007   0.9169   0.0291   0.8763     6025
       whit_a_0p01   0.1024   0.0725  -0.0005   0.9201   0.0281   0.8727     6025

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0833   0.0583  -0.0016   0.9192   0.0281   0.9296     6025
        climo_mean   0.1180   0.0772  -0.0021   0.8576   0.0503   0.8585     6025
      climo_median   0.1237   0.0732  -0.0077   0.8865   0.0341   0.8467     6025
             conor   0.0731   0.0519   0.0004   0.9565   0.0164   0.9457     6025
     interp_clim_a   0.0865   0.0598  -0.0018   0.8884   0.0392   0.9254     6025
     interp_clim_b   0.0865   0.0598  -0.0019   0.8883   0.0392   0.9254     6025
     interp_clim_c   0.0882   0.0580  -0.0046   0.9029   0.0311   0.9215     6025
       whit_a_0p50   0.0854   0.0595  -0.0011   0.9308   0.0244   0.9258     6025
       whit_a_0p20   0.0844   0.0590  -0.0006   0.9413   0.0210   0.9277     6025
       whit_a_0p10   0.0846   0.0593  -0.0003   0.9462   0.0195   0.9276     6025
       whit_a_0p05   0.0851   0.0599  -0.0001   0.9493   0.0186   0.9268     6025
       whit_a_0p01   0.0863   0.0610   0.0004   0.9523   0.0179   0.9250     6025

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1080   0.0796   0.0024   0.8608   0.0501   0.8154     6022
        climo_mean   0.1208   0.0869  -0.0012   0.7681   0.0782   0.7655     6022
      climo_median   0.1253   0.0832  -0.0112   0.7943   0.0593   0.7522     6022
             conor   0.0963   0.0716  -0.0020   0.8874   0.0366   0.8524     6022
     interp_clim_a   0.1002   0.0739   0.0006   0.8144   0.0641   0.8394     6022
     interp_clim_b   0.1005   0.0741   0.0007   0.8150   0.0640   0.8384     6022
     interp_clim_c   0.1015   0.0724  -0.0044   0.8275   0.0547   0.8349     6022
       whit_a_0p50   0.1086   0.0797   0.0019   0.8572   0.0508   0.8128     6022
       whit_a_0p20   0.1087   0.0797   0.0006   0.8689   0.0455   0.8138     6022
       whit_a_0p10   0.1100   0.0808  -0.0002   0.8750   0.0426   0.8108     6022
       whit_a_0p05   0.1115   0.0820  -0.0008   0.8789   0.0406   0.8067     6022
       whit_a_0p01   0.1141   0.0840  -0.0015   0.8825   0.0387   0.7996     6022

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1171   0.0869   0.0036   0.8391   0.0591   0.7685     5699
        climo_mean   0.1260   0.0939  -0.0040   0.7137   0.0946   0.7246     5699
      climo_median   0.1300   0.0898  -0.0149   0.7439   0.0734   0.7119     5699
             conor   0.1043   0.0782  -0.0028   0.8524   0.0480   0.8131     5699
     interp_clim_a   0.1079   0.0811  -0.0002   0.7764   0.0769   0.7983     5699
     interp_clim_b   0.1086   0.0816   0.0003   0.7776   0.0769   0.7958     5699
     interp_clim_c   0.1091   0.0796  -0.0056   0.7915   0.0662   0.7940     5699
       whit_a_0p50   0.1182   0.0877   0.0030   0.8369   0.0591   0.7644     5699
       whit_a_0p20   0.1181   0.0875   0.0023   0.8445   0.0559   0.7659     5699
       whit_a_0p10   0.1191   0.0883   0.0022   0.8491   0.0542   0.7635     5699
       whit_a_0p05   0.1205   0.0893   0.0023   0.8525   0.0531   0.7595     5699
       whit_a_0p01   0.1229   0.0912   0.0027   0.8560   0.0523   0.7523     5699

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1148   0.0813  -0.0003   0.8566   0.0507   0.8404     6025
        climo_mean   0.1205   0.0825  -0.0020   0.8172   0.0629   0.8238     6025
      climo_median   0.1256   0.0788  -0.0104   0.8431   0.0453   0.8112     6025
             conor   0.0935   0.0663  -0.0017   0.8872   0.0384   0.8940     6025
     interp_clim_a   0.1019   0.0728  -0.0011   0.8369   0.0568   0.8758     6025
     interp_clim_b   0.1024   0.0730  -0.0012   0.8365   0.0569   0.8745     6025
     interp_clim_c   0.1031   0.0713  -0.0053   0.8499   0.0480   0.8720     6025
       whit_a_0p50   0.1163   0.0824  -0.0004   0.8733   0.0446   0.8374     6025
       whit_a_0p20   0.1172   0.0826  -0.0004   0.8867   0.0399   0.8363     6025
       whit_a_0p10   0.1189   0.0837  -0.0003   0.8934   0.0376   0.8329     6025
       whit_a_0p05   0.1208   0.0851  -0.0002   0.8976   0.0362   0.8287     6025
       whit_a_0p01   0.1237   0.0873   0.0000   0.9016   0.0350   0.8220     6025

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0956   0.0665  -0.0058   0.8780   0.0384   0.9070     6025
        climo_mean   0.1173   0.0756  -0.0042   0.8557   0.0481   0.8583     6025
      climo_median   0.1250   0.0722  -0.0098   0.8824   0.0328   0.8418     6025
             conor   0.0816   0.0560  -0.0028   0.9169   0.0273   0.9317     6025
     interp_clim_a   0.0909   0.0626  -0.0050   0.8668   0.0433   0.9178     6025
     interp_clim_b   0.0910   0.0627  -0.0051   0.8667   0.0432   0.9177     6025
     interp_clim_c   0.0932   0.0611  -0.0078   0.8802   0.0356   0.9122     6025
       whit_a_0p50   0.0981   0.0679  -0.0053   0.9053   0.0290   0.9010     6025
       whit_a_0p20   0.0981   0.0680  -0.0052   0.9159   0.0253   0.9013     6025
       whit_a_0p10   0.0991   0.0689  -0.0051   0.9206   0.0237   0.8994     6025
       whit_a_0p05   0.1005   0.0702  -0.0049   0.9234   0.0229   0.8968     6025
       whit_a_0p01   0.1030   0.0723  -0.0046   0.9256   0.0224   0.8921     6025

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1273   0.0938   0.0078   0.8411   0.0632   0.7593     6022
        climo_mean   0.1221   0.0885  -0.0007   0.7704   0.0794   0.7698     6022
