MGRS: 16T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1369   0.1036   0.0047   0.7730   0.1816   0.7802     6158
        climo_mean   0.1192   0.0895   0.0016   0.8260   0.1372   0.8333     6158
      climo_median   0.1228   0.0865   0.0003   0.8425   0.1231   0.8232     6158
             conor   0.1112   0.0842  -0.0007   0.8842   0.0896   0.8558     6158
     interp_clim_a   0.1129   0.0859   0.0031   0.7995   0.1594   0.8537     6158
     interp_clim_b   0.1146   0.0867   0.0039   0.7971   0.1621   0.8491     6158
     interp_clim_c   0.1135   0.0849   0.0025   0.8078   0.1524   0.8509     6158
       whit_a_0p50   0.1381   0.1041   0.0024   0.7980   0.1599   0.7766     6158
       whit_a_0p20   0.1361   0.1017   0.0010   0.8290   0.1343   0.7847     6158
       whit_a_0p10   0.1366   0.1017   0.0003   0.8438   0.1220   0.7851     6158
       whit_a_0p05   0.1379   0.1025  -0.0002   0.8531   0.1143   0.7830     6158
       whit_a_0p01   0.1403   0.1042  -0.0007   0.8620   0.1069   0.7779     6158

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1157   0.0890  -0.0168   0.8133   0.1464   0.8269     6158
        climo_mean   0.1042   0.0779   0.0007   0.8547   0.1277   0.8565     6158
      climo_median   0.1073   0.0755   0.0028   0.8673   0.1188   0.8484     6158
             conor   0.0954   0.0721  -0.0010   0.9135   0.0746   0.8811     6158
     interp_clim_a   0.0972   0.0743  -0.0080   0.8340   0.1371   0.8783     6158
     interp_clim_b   0.0973   0.0744  -0.0079   0.8337   0.1374   0.8779     6158
     interp_clim_c   0.0976   0.0735  -0.0070   0.8403   0.1326   0.8763     6158
       whit_a_0p50   0.1157   0.0885  -0.0104   0.8275   0.1403   0.8247     6158
       whit_a_0p20   0.1127   0.0856  -0.0065   0.8564   0.1189   0.8333     6158
       whit_a_0p10   0.1128   0.0853  -0.0050   0.8701   0.1086   0.8338     6158
       whit_a_0p05   0.1137   0.0858  -0.0041   0.8785   0.1021   0.8321     6158
       whit_a_0p01   0.1155   0.0870  -0.0034   0.8865   0.0959   0.8280     6158

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1710   0.1312   0.0472   0.7023   0.2361   0.5849     6009
        climo_mean   0.1452   0.1125   0.0017   0.6565   0.2196   0.6575     6009
      climo_median   0.1502   0.1087  -0.0046   0.6610   0.2105   0.6348     6009
             conor   0.1358   0.1051  -0.0002   0.7455   0.1612   0.7029     6009
     interp_clim_a   0.1401   0.1089   0.0245   0.6794   0.2278   0.6909     6009
     interp_clim_b   0.1439   0.1114   0.0269   0.6777   0.2314   0.6756     6009
     interp_clim_c   0.1413   0.1079   0.0213   0.6817   0.2233   0.6832     6009
       whit_a_0p50   0.1724   0.1324   0.0308   0.7133   0.2127   0.5690     6009
       whit_a_0p20   0.1711   0.1304   0.0204   0.7326   0.1900   0.5747     6009
       whit_a_0p10   0.1720   0.1306   0.0156   0.7434   0.1783   0.5736     6009
       whit_a_0p05   0.1736   0.1317   0.0125   0.7510   0.1705   0.5701     6009
       whit_a_0p01   0.1766   0.1338   0.0095   0.7591   0.1623   0.5631     6009

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1815   0.1389   0.0256   0.5808   0.2611   0.4669     3921
        climo_mean   0.1568   0.1223   0.0074   0.5807   0.2430   0.5736     3921
