MGRS: 
NLCD: 95

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1175   0.0879  -0.0010   0.8654   0.0910   0.8636    12606
        climo_mean   0.1390   0.1026  -0.0002   0.8108   0.1293   0.8090    12606
      climo_median   0.1443   0.0994  -0.0015   0.8337   0.1122   0.7958    12606
             conor   0.1023   0.0763  -0.0030   0.9217   0.0505   0.8972    12606
     interp_clim_a   0.1114   0.0841  -0.0006   0.8381   0.1101   0.8791    12606
     interp_clim_b   0.1117   0.0842  -0.0002   0.8381   0.1105   0.8784    12606
     interp_clim_c   0.1129   0.0831  -0.0013   0.8496   0.1016   0.8746    12606
       whit_a_0p50   0.1188   0.0886  -0.0016   0.8802   0.0803   0.8609    12606
       whit_a_0p20   0.1174   0.0871  -0.0022   0.8970   0.0683   0.8650    12606
       whit_a_0p10   0.1176   0.0872  -0.0025   0.9049   0.0626   0.8650    12606
       whit_a_0p05   0.1185   0.0878  -0.0027   0.9099   0.0589   0.8636    12606
       whit_a_0p01   0.1203   0.0893  -0.0029   0.9148   0.0554   0.8604    12606

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1000   0.0750  -0.0120   0.8929   0.0701   0.9079    12606
        climo_mean   0.1314   0.0942   0.0021   0.8380   0.1263   0.8382    12606
      climo_median   0.1381   0.0913   0.0040   0.8601   0.1112   0.8230    12606
             conor   0.0851   0.0636   0.0004   0.9414   0.0453   0.9323    12606
     interp_clim_a   0.0986   0.0739  -0.0050   0.8654   0.0982   0.9114    12606
     interp_clim_b   0.0987   0.0739  -0.0050   0.8654   0.0982   0.9113    12606
     interp_clim_c   0.1005   0.0729  -0.0040   0.8765   0.0907   0.9064    12606
       whit_a_0p50   0.1023   0.0765  -0.0061   0.9044   0.0672   0.9024    12606
       whit_a_0p20   0.0995   0.0742  -0.0030   0.9195   0.0588   0.9074    12606
       whit_a_0p10   0.0989   0.0737  -0.0018   0.9265   0.0546   0.9086    12606
       whit_a_0p05   0.0991   0.0739  -0.0011   0.9308   0.0520   0.9085    12606
       whit_a_0p01   0.1001   0.0748  -0.0005   0.9348   0.0494   0.9070    12606

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1405   0.1054   0.0227   0.8215   0.1260   0.7580    12568
        climo_mean   0.1476   0.1119  -0.0018   0.7195   0.1607   0.7200    12568
      climo_median   0.1529   0.1075  -0.0072   0.7382   0.1444   0.7019    12568
             conor   0.1212   0.0916  -0.0023   0.8487   0.0853   0.8128    12568
     interp_clim_a   0.1263   0.0965   0.0105   0.7705   0.1434   0.7972    12568
     interp_clim_b   0.1277   0.0973   0.0118   0.7708   0.1445   0.7926    12568
     interp_clim_c   0.1276   0.0954   0.0077   0.7798   0.1352   0.7916    12568
       whit_a_0p50   0.1408   0.1054   0.0122   0.8256   0.1133   0.7538    12568
       whit_a_0p20   0.1407   0.1049   0.0072   0.8372   0.1016   0.7552    12568
       whit_a_0p10   0.1417   0.1056   0.0052   0.8435   0.0958   0.7530    12568
       whit_a_0p05   0.1432   0.1067   0.0039   0.8479   0.0921   0.7495    12568
       whit_a_0p01   0.1457   0.1085   0.0028   0.8524   0.0883   0.7433    12568

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1472   0.1109   0.0253   0.7835   0.1398   0.7178    10770
        climo_mean   0.1523   0.1159   0.0035   0.6858   0.1697   0.6823    10770
      climo_median   0.1569   0.1103  -0.0037   0.7084   0.1505   0.6655    10770
             conor   0.1275   0.0966   0.0006   0.8197   0.0960   0.7791    10770
     interp_clim_a   0.1329   0.1014   0.0144   0.7346   0.1547   0.7616    10770
     interp_clim_b   0.1352   0.1029   0.0166   0.7351   0.1567   0.7535    10770
     interp_clim_c   0.1337   0.0998   0.0108   0.7459   0.1452   0.7566    10770
       whit_a_0p50   0.1469   0.1100   0.0109   0.7851   0.1245   0.7132    10770
       whit_a_0p20   0.1471   0.1100   0.0064   0.7939   0.1154   0.7130    10770
       whit_a_0p10   0.1484   0.1109   0.0050   0.7993   0.1111   0.7097    10770
       whit_a_0p05   0.1500   0.1122   0.0044   0.8032   0.1085   0.7054    10770
       whit_a_0p01   0.1526   0.1143   0.0041   0.8075   0.1059   0.6981    10770

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1422   0.1074   0.0049   0.8110   0.1333   0.8030    12606
        climo_mean   0.1399   0.1031   0.0003   0.8071   0.1314   0.8091    12606
      climo_median   0.1449   0.0992  -0.0012   0.8320   0.1130   0.7967    12606
             conor   0.1112   0.0828  -0.0009   0.8723   0.0859   0.8793    12606
     interp_clim_a   0.1213   0.0922   0.0026   0.8090   0.1324   0.8593    12606
     interp_clim_b   0.1224   0.0928   0.0034   0.8080   0.1339   0.8565    12606
     interp_clim_c   0.1221   0.0909   0.0018   0.8215   0.1231   0.8559    12606
       whit_a_0p50   0.1420   0.1066   0.0041   0.8434   0.1106   0.8051    12606
       whit_a_0p20   0.1417   0.1058   0.0035   0.8617   0.0976   0.8077    12606
       whit_a_0p10   0.1429   0.1065   0.0033   0.8705   0.0913   0.8059    12606
       whit_a_0p05   0.1445   0.1076   0.0031   0.8760   0.0874   0.8028    12606
       whit_a_0p01   0.1473   0.1097   0.0029   0.8813   0.0835   0.7972    12606

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1251   0.0943  -0.0247   0.8501   0.0898   0.8588    12606
        climo_mean   0.1311   0.0945   0.0027   0.8384   0.1260   0.8387    12606
      climo_median   0.1366   0.0910   0.0041   0.8630   0.1087   0.8267    12606
             conor   0.0975   0.0722   0.0019   0.9027   0.0762   0.9109    12606
     interp_clim_a   0.1083   0.0816  -0.0110   0.8442   0.1079   0.8937    12606
     interp_clim_b   0.1084   0.0817  -0.0110   0.8442   0.1079   0.8935    12606
     interp_clim_c   0.1092   0.0803  -0.0103   0.8565   0.0992   0.8904    12606
       whit_a_0p50   0.1253   0.0939  -0.0111   0.8792   0.0811   0.8546    12606
       whit_a_0p20   0.1238   0.0924  -0.0072   0.8963   0.0719   0.8583    12606
       whit_a_0p10   0.1242   0.0927  -0.0056   0.9043   0.0674   0.8579    12606
       whit_a_0p05   0.1253   0.0934  -0.0047   0.9091   0.0646   0.8561    12606
       whit_a_0p01   0.1274   0.0950  -0.0039   0.9135   0.0621   0.8522    12606

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1633   0.1241   0.0404   0.7859   0.1649   0.6984    12568
        climo_mean   0.1507   0.1134  -0.0015   0.7128   0.1654   0.7163    12568
      climo_median   0.1562   0.1092  -0.0064   0.7334   0.1485   0.6976    12568
             conor   0.1277   0.0965  -0.0030   0.7948   0.1163   0.7965    12568
     interp_clim_a   0.1376   0.1052   0.0194   0.7494   0.1651   0.7686    12568
     interp_clim_b   0.1401   0.1068   0.0215   0.7477   0.1682   0.7608    12568
     interp_clim_c   0.1387   0.1041   0.0170   0.7596   0.1567   0.7634    12568
       whit_a_0p50   0.1618   0.1224   0.0216   0.7979   0.1391   0.6943    12568
       whit_a_0p20   0.1626   0.1228   0.0152   0.8105   0.1253   0.6926    12568
       whit_a_0p10   0.1647   0.1242   0.0125   0.8174   0.1186   0.6877    12568
       whit_a_0p05   0.1670   0.1259   0.0108   0.8220   0.1142   0.6819    12568
       whit_a_0p01   0.1707   0.1287   0.0092   0.8267   0.1099   0.6725    12568

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1649   0.1257   0.0080   0.7670   0.1651   0.7341    12606
        climo_mean   0.1403   0.1041   0.0007   0.8041   0.1328   0.8059    12606
      climo_median   0.1454   0.1000  -0.0007   0.8290   0.1146   0.7932    12606
             conor   0.1192   0.0894  -0.0004   0.8530   0.0987   0.8600    12606
     interp_clim_a   0.1312   0.1004   0.0044   0.7856   0.1490   0.8331    12606
     interp_clim_b   0.1330   0.1015   0.0054   0.7837   0.1513   0.8285    12606
     interp_clim_c   0.1318   0.0991   0.0036   0.7980   0.1399   0.8302    12606
       whit_a_0p50   0.1642   0.1238   0.0073   0.8163   0.1311   0.7423    12606
       whit_a_0p20   0.1651   0.1240   0.0064   0.8359   0.1170   0.7432    12606
       whit_a_0p10   0.1673   0.1255   0.0059   0.8450   0.1104   0.7395    12606
       whit_a_0p05   0.1697   0.1272   0.0055   0.8506   0.1063   0.7346    12606
       whit_a_0p01   0.1735   0.1301   0.0051   0.8557   0.1024   0.7264    12606

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1509   0.1146  -0.0355   0.8003   0.1147   0.8001    12606
        climo_mean   0.1309   0.0950   0.0014   0.8368   0.1242   0.8408    12606
