MGRS: 
NLCD: 71

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1140   0.0853   0.0014   0.8908   0.0629   0.8876    12617
        climo_mean   0.1362   0.1016   0.0018   0.8365   0.0938   0.8397    12617
      climo_median   0.1407   0.0965   0.0056   0.8723   0.0774   0.8311    12617
             conor   0.0987   0.0739  -0.0003   0.9327   0.0376   0.9161    12617
     interp_clim_a   0.1075   0.0816   0.0016   0.8636   0.0784   0.9016    12617
     interp_clim_b   0.1080   0.0818   0.0018   0.8638   0.0784   0.9007    12617
     interp_clim_c   0.1085   0.0799   0.0035   0.8815   0.0702   0.8987    12617
       whit_a_0p50   0.1156   0.0863   0.0009   0.9014   0.0564   0.8847    12617
       whit_a_0p20   0.1144   0.0850   0.0011   0.9149   0.0490   0.8877    12617
       whit_a_0p10   0.1147   0.0851   0.0013   0.9213   0.0456   0.8875    12617
       whit_a_0p05   0.1156   0.0856   0.0014   0.9252   0.0435   0.8861    12617
       whit_a_0p01   0.1174   0.0869   0.0015   0.9289   0.0415   0.8832    12617

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1010   0.0762  -0.0090   0.9078   0.0487   0.9250    12617
        climo_mean   0.1344   0.0994   0.0035   0.8648   0.0882   0.8655    12617
      climo_median   0.1396   0.0946   0.0120   0.9006   0.0742   0.8580    12617
             conor   0.0861   0.0653   0.0006   0.9523   0.0305   0.9448    12617
     interp_clim_a   0.0999   0.0762  -0.0027   0.8863   0.0684   0.9276    12617
     interp_clim_b   0.0999   0.0762  -0.0028   0.8864   0.0683   0.9275    12617
     interp_clim_c   0.1008   0.0743   0.0015   0.9042   0.0614   0.9247    12617
       whit_a_0p50   0.1025   0.0771  -0.0040   0.9204   0.0458   0.9218    12617
       whit_a_0p20   0.1002   0.0751  -0.0016   0.9343   0.0396   0.9252    12617
       whit_a_0p10   0.1000   0.0748  -0.0006   0.9406   0.0365   0.9258    12617
       whit_a_0p05   0.1004   0.0751  -0.0001   0.9445   0.0347   0.9252    12617
       whit_a_0p01   0.1017   0.0761   0.0004   0.9480   0.0330   0.9236    12617

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1365   0.1010   0.0198   0.8497   0.0912   0.7795    12542
        climo_mean   0.1408   0.1070   0.0031   0.7501   0.1219   0.7537    12542
      climo_median   0.1455   0.1024   0.0013   0.7782   0.1067   0.7389    12542
             conor   0.1155   0.0870   0.0007   0.8599   0.0672   0.8348    12542
     interp_clim_a   0.1217   0.0922   0.0115   0.7999   0.1065   0.8179    12542
     interp_clim_b   0.1230   0.0930   0.0121   0.8010   0.1066   0.8139    12542
     interp_clim_c   0.1231   0.0911   0.0106   0.8139   0.0990   0.8130    12542
       whit_a_0p50   0.1375   0.1017   0.0124   0.8468   0.0851   0.7736    12542
       whit_a_0p20   0.1376   0.1015   0.0083   0.8528   0.0782   0.7736    12542
       whit_a_0p10   0.1387   0.1022   0.0065   0.8567   0.0746   0.7709    12542
       whit_a_0p05   0.1401   0.1032   0.0054   0.8594   0.0722   0.7672    12542
       whit_a_0p01   0.1426   0.1049   0.0044   0.8623   0.0698   0.7609    12542

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1390   0.1030   0.0172   0.8116   0.1001   0.7276    10761
        climo_mean   0.1404   0.1061   0.0024   0.7058   0.1320   0.7079    10761
      climo_median   0.1441   0.1010  -0.0022   0.7315   0.1160   0.6940    10761
             conor   0.1209   0.0910   0.0009   0.8342   0.0739   0.7863    10761
     interp_clim_a   0.1235   0.0932   0.0098   0.7587   0.1161   0.7755    10761
     interp_clim_b   0.1262   0.0947   0.0108   0.7598   0.1166   0.7655    10761
