MGRS: 12S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0970   0.0716   0.0013   0.8721   0.0511   0.8682     8192
        climo_mean   0.1141   0.0813  -0.0009   0.8183   0.0698   0.8175     8192
      climo_median   0.1180   0.0783  -0.0062   0.8411   0.0556   0.8069     8192
             conor   0.0832   0.0621   0.0001   0.9184   0.0319   0.9031     8192
     interp_clim_a   0.0914   0.0678   0.0002   0.8452   0.0605   0.8845     8192
     interp_clim_b   0.0920   0.0681   0.0003   0.8447   0.0608   0.8830     8192
     interp_clim_c   0.0923   0.0667  -0.0025   0.8566   0.0534   0.8814     8192
       whit_a_0p50   0.0989   0.0730   0.0014   0.8767   0.0494   0.8631     8192
       whit_a_0p20   0.0980   0.0720   0.0010   0.8906   0.0436   0.8661     8192
       whit_a_0p10   0.0985   0.0724   0.0008   0.8974   0.0408   0.8651     8192
       whit_a_0p05   0.0996   0.0732   0.0007   0.9016   0.0390   0.8627     8192
       whit_a_0p01   0.1015   0.0747   0.0006   0.9057   0.0374   0.8581     8192

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0863   0.0631  -0.0011   0.8995   0.0399   0.9153     8192
        climo_mean   0.1115   0.0765  -0.0043   0.8509   0.0566   0.8583     8192
      climo_median   0.1159   0.0738  -0.0085   0.8743   0.0428   0.8482     8192
             conor   0.0730   0.0537  -0.0001   0.9461   0.0218   0.9392     8192
     interp_clim_a   0.0846   0.0610  -0.0027   0.8752   0.0482   0.9206     8192
     interp_clim_b   0.0847   0.0610  -0.0028   0.8749   0.0482   0.9205     8192
     interp_clim_c   0.0856   0.0599  -0.0048   0.8869   0.0413   0.9177     8192
       whit_a_0p50   0.0886   0.0646  -0.0009   0.9088   0.0363   0.9105     8192
       whit_a_0p20   0.0868   0.0631   0.0003   0.9240   0.0313   0.9141     8192
       whit_a_0p10   0.0867   0.0632   0.0011   0.9312   0.0291   0.9144     8192
       whit_a_0p05   0.0872   0.0638   0.0017   0.9356   0.0279   0.9137     8192
       whit_a_0p01   0.0884   0.0648   0.0024   0.9397   0.0270   0.9116     8192

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1084   0.0808   0.0048   0.8424   0.0628   0.7729     8189
        climo_mean   0.1138   0.0850  -0.0032   0.7453   0.0905   0.7425     8189
      climo_median   0.1183   0.0825  -0.0114   0.7622   0.0761   0.7260     8189
             conor   0.0923   0.0699  -0.0016   0.8707   0.0460   0.8323     8189
     interp_clim_a   0.0971   0.0738   0.0008   0.7939   0.0767   0.8129     8189
     interp_clim_b   0.0979   0.0743   0.0012   0.7938   0.0771   0.8098     8189
     interp_clim_c   0.0984   0.0731  -0.0033   0.8023   0.0695   0.8076     8189
       whit_a_0p50   0.1090   0.0813   0.0038   0.8371   0.0637   0.7699     8189
       whit_a_0p20   0.1084   0.0807   0.0020   0.8474   0.0582   0.7736     8189
       whit_a_0p10   0.1092   0.0812   0.0010   0.8530   0.0551   0.7714     8189
       whit_a_0p05   0.1106   0.0821   0.0003   0.8566   0.0530   0.7673     8189
       whit_a_0p01   0.1129   0.0838  -0.0005   0.8599   0.0511   0.7597     8189

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1152   0.0858   0.0092   0.8027   0.0776   0.6943     7769
        climo_mean   0.1143   0.0872  -0.0033   0.6836   0.1064   0.6808     7769
      climo_median   0.1179   0.0839  -0.0107   0.6995   0.0934   0.6649     7769
             conor   0.0991   0.0747  -0.0015   0.8237   0.0597   0.7644     7769
     interp_clim_a   0.1013   0.0770   0.0029   0.7431   0.0920   0.7491     7769
     interp_clim_b   0.1029   0.0780   0.0039   0.7437   0.0927   0.7417     7769
     interp_clim_c   0.1019   0.0758  -0.0008   0.7511   0.0855   0.7460     7769
       whit_a_0p50   0.1150   0.0855   0.0050   0.7970   0.0754   0.6928     7769
       whit_a_0p20   0.1148   0.0853   0.0042   0.8025   0.0727   0.6949     7769
       whit_a_0p10   0.1158   0.0861   0.0043   0.8065   0.0714   0.6915     7769
