MGRS: 13S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0993   0.0741   0.0020   0.8517   0.0605   0.8398     7988
        climo_mean   0.1124   0.0827   0.0075   0.7993   0.0867   0.7954     7988
      climo_median   0.1165   0.0798   0.0013   0.8167   0.0736   0.7808     7988
             conor   0.0873   0.0658   0.0015   0.9018   0.0402   0.8768     7988
     interp_clim_a   0.0926   0.0698   0.0048   0.8255   0.0736   0.8625     7988
     interp_clim_b   0.0930   0.0700   0.0049   0.8252   0.0738   0.8612     7988
     interp_clim_c   0.0937   0.0687   0.0017   0.8342   0.0671   0.8578     7988
       whit_a_0p50   0.1008   0.0749   0.0022   0.8610   0.0570   0.8356     7988
       whit_a_0p20   0.1003   0.0744   0.0020   0.8759   0.0510   0.8379     7988
       whit_a_0p10   0.1011   0.0749   0.0018   0.8832   0.0479   0.8364     7988
       whit_a_0p05   0.1022   0.0758   0.0017   0.8879   0.0459   0.8336     7988
       whit_a_0p01   0.1042   0.0775   0.0015   0.8925   0.0439   0.8283     7988

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0956   0.0712  -0.0062   0.8656   0.0520   0.8752     7988
        climo_mean   0.1184   0.0854   0.0067   0.8156   0.0865   0.8081     7988
      climo_median   0.1234   0.0830   0.0024   0.8359   0.0735   0.7933     7988
             conor   0.0843   0.0631   0.0009   0.9174   0.0367   0.9025     7988
     interp_clim_a   0.0936   0.0697   0.0002   0.8406   0.0693   0.8817     7988
     interp_clim_b   0.0936   0.0697   0.0002   0.8406   0.0693   0.8815     7988
     interp_clim_c   0.0950   0.0688  -0.0019   0.8507   0.0628   0.8768     7988
       whit_a_0p50   0.0977   0.0725  -0.0040   0.8754   0.0499   0.8690     7988
       whit_a_0p20   0.0963   0.0714  -0.0023   0.8940   0.0437   0.8732     7988
       whit_a_0p10   0.0964   0.0717  -0.0014   0.9030   0.0406   0.8735     7988
       whit_a_0p05   0.0970   0.0723  -0.0009   0.9086   0.0387   0.8723     7988
       whit_a_0p01   0.0984   0.0735  -0.0003   0.9141   0.0370   0.8693     7988

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1057   0.0786   0.0121   0.8262   0.0714   0.7347     7940
        climo_mean   0.1076   0.0803   0.0047   0.7163   0.1015   0.7104     7940
      climo_median   0.1108   0.0772  -0.0016   0.7320   0.0899   0.6940     7940
             conor   0.0890   0.0674  -0.0012   0.8416   0.0528   0.8031     7940
     interp_clim_a   0.0935   0.0710   0.0084   0.7713   0.0864   0.7829     7940
     interp_clim_b   0.0943   0.0715   0.0088   0.7717   0.0867   0.7790     7940
     interp_clim_c   0.0943   0.0701   0.0053   0.7791   0.0806   0.7778     7940
       whit_a_0p50   0.1065   0.0788   0.0085   0.8244   0.0684   0.7298     7940
       whit_a_0p20   0.1061   0.0782   0.0054   0.8308   0.0632   0.7319     7940
       whit_a_0p10   0.1069   0.0788   0.0039   0.8347   0.0603   0.7290     7940
       whit_a_0p05   0.1082   0.0797   0.0029   0.8375   0.0584   0.7245     7940
       whit_a_0p01   0.1104   0.0815   0.0019   0.8405   0.0563   0.7161     7940

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1042   0.0783   0.0110   0.7809   0.0790   0.6778     7278
        climo_mean   0.1054   0.0778   0.0041   0.6593   0.1099   0.6505     7278
      climo_median   0.1086   0.0745  -0.0044   0.6666   0.0991   0.6314     7278
             conor   0.0909   0.0689   0.0007   0.8046   0.0614   0.7444     7278
     interp_clim_a   0.0922   0.0696   0.0076   0.7201   0.0945   0.7345     7278
     interp_clim_b   0.0933   0.0703   0.0082   0.7209   0.0948   0.7279     7278
     interp_clim_c   0.0929   0.0686   0.0033   0.7238   0.0891   0.7284     7278
       whit_a_0p50   0.1043   0.0781   0.0024   0.7735   0.0727   0.6728     7278
       whit_a_0p20   0.1050   0.0785   0.0024   0.7799   0.0707   0.6705     7278
       whit_a_0p10   0.1065   0.0795   0.0030   0.7842   0.0700   0.6646     7278
       whit_a_0p05   0.1081   0.0807   0.0036   0.7874   0.0696   0.6578     7278
       whit_a_0p01   0.1107   0.0826   0.0045   0.7910   0.0693   0.6468     7278

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1177   0.0869   0.0017   0.8054   0.0780   0.7734     7988
        climo_mean   0.1135   0.0830   0.0071   0.7950   0.0875   0.7888     7988
      climo_median   0.1175   0.0801   0.0021   0.8122   0.0757   0.7746     7988
             conor   0.0932   0.0696   0.0030   0.8594   0.0581   0.8571     7988
     interp_clim_a   0.1009   0.0755   0.0044   0.8002   0.0827   0.8342     7988
     interp_clim_b   0.1018   0.0759   0.0047   0.7993   0.0833   0.8309     7988
     interp_clim_c   0.1017   0.0747   0.0019   0.8088   0.0768   0.8303     7988
       whit_a_0p50   0.1194   0.0879   0.0016   0.8324   0.0672   0.7703     7988
       whit_a_0p20   0.1195   0.0877   0.0014   0.8498   0.0602   0.7726     7988
