MGRS: 
NLCD: 42

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1170   0.0873   0.0019   0.8240   0.1386   0.8156    12551
        climo_mean   0.1061   0.0795  -0.0006   0.8467   0.1184   0.8483    12551
      climo_median   0.1089   0.0767  -0.0004   0.8604   0.1080   0.8405    12551
             conor   0.0989   0.0740   0.0006   0.8987   0.0793   0.8690    12551
     interp_clim_a   0.0992   0.0746   0.0007   0.8353   0.1285   0.8687    12551
     interp_clim_b   0.1002   0.0752   0.0011   0.8338   0.1301   0.8658    12551
     interp_clim_c   0.0998   0.0737   0.0008   0.8422   0.1233   0.8664    12551
       whit_a_0p50   0.1179   0.0879   0.0012   0.8389   0.1263   0.8135    12551
       whit_a_0p20   0.1178   0.0873   0.0014   0.8580   0.1117   0.8152    12551
       whit_a_0p10   0.1188   0.0879   0.0016   0.8674   0.1046   0.8132    12551
       whit_a_0p05   0.1203   0.0890   0.0017   0.8733   0.1000   0.8099    12551
       whit_a_0p01   0.1227   0.0908   0.0018   0.8794   0.0954   0.8039    12551

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0924   0.0711  -0.0109   0.8758   0.0958   0.8861    12551
        climo_mean   0.0910   0.0686   0.0025   0.8844   0.1019   0.8878    12551
      climo_median   0.0936   0.0664   0.0053   0.8958   0.0949   0.8818    12551
             conor   0.0782   0.0600   0.0026   0.9328   0.0604   0.9175    12551
     interp_clim_a   0.0805   0.0617  -0.0042   0.8801   0.0989   0.9137    12551
     interp_clim_b   0.0807   0.0619  -0.0043   0.8799   0.0989   0.9132    12551
     interp_clim_c   0.0811   0.0612  -0.0028   0.8858   0.0953   0.9117    12551
       whit_a_0p50   0.0943   0.0724  -0.0044   0.8884   0.0915   0.8798    12551
       whit_a_0p20   0.0928   0.0711  -0.0012   0.9028   0.0824   0.8836    12551
       whit_a_0p10   0.0930   0.0712   0.0001   0.9094   0.0779   0.8835    12551
       whit_a_0p05   0.0937   0.0718   0.0007   0.9136   0.0750   0.8821    12551
       whit_a_0p01   0.0953   0.0730   0.0013   0.9176   0.0721   0.8786    12551

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1484   0.1123   0.0215   0.7211   0.2071   0.6275    12471
        climo_mean   0.1270   0.0972  -0.0016   0.7024   0.1965   0.7110    12471
      climo_median   0.1301   0.0932  -0.0044   0.7150   0.1853   0.6973    12471
             conor   0.1231   0.0937  -0.0024   0.7870   0.1393   0.7326    12471
     interp_clim_a   0.1235   0.0944   0.0100   0.7118   0.2018   0.7289    12471
     interp_clim_b   0.1257   0.0958   0.0113   0.7096   0.2046   0.7190    12471
     interp_clim_c   0.1239   0.0932   0.0086   0.7181   0.1962   0.7261    12471
       whit_a_0p50   0.1488   0.1125   0.0116   0.7174   0.1997   0.6208    12471
       whit_a_0p20   0.1491   0.1125   0.0068   0.7354   0.1829   0.6226    12471
       whit_a_0p10   0.1506   0.1135   0.0048   0.7460   0.1738   0.6195    12471
       whit_a_0p05   0.1525   0.1148   0.0035   0.7535   0.1676   0.6148    12471
       whit_a_0p01   0.1555   0.1172   0.0024   0.7617   0.1609   0.6063    12471

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1620   0.1213   0.0351   0.6350   0.2537   0.5364    10561
        climo_mean   0.1397   0.1058   0.0019   0.6200   0.2296   0.6243    10561
      climo_median   0.1444   0.1014  -0.0034   0.6269   0.2201   0.5998    10561
