MGRS: 17T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1345   0.0995   0.0038   0.7745   0.1790   0.7762     2897
        climo_mean   0.1174   0.0883  -0.0044   0.8310   0.1269   0.8295     2897
      climo_median   0.1219   0.0848  -0.0033   0.8524   0.1113   0.8176     2897
             conor   0.1080   0.0806  -0.0021   0.8877   0.0851   0.8568     2897
     interp_clim_a   0.1114   0.0836  -0.0003   0.8028   0.1530   0.8490     2897
     interp_clim_b   0.1139   0.0845   0.0012   0.7985   0.1577   0.8418     2897
     interp_clim_c   0.1122   0.0825   0.0002   0.8135   0.1451   0.8454     2897
       whit_a_0p50   0.1355   0.0999   0.0022   0.8016   0.1563   0.7737     2897
       whit_a_0p20   0.1343   0.0983   0.0008   0.8301   0.1328   0.7801     2897
       whit_a_0p10   0.1348   0.0982  -0.0001   0.8441   0.1211   0.7804     2897
       whit_a_0p05   0.1358   0.0987  -0.0007   0.8532   0.1133   0.7789     2897
       whit_a_0p01   0.1377   0.1001  -0.0016   0.8624   0.1053   0.7751     2897

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1071   0.0826  -0.0175   0.8313   0.1317   0.8367     2897
        climo_mean   0.1013   0.0747  -0.0022   0.8388   0.1403   0.8500     2897
      climo_median   0.1046   0.0719   0.0019   0.8571   0.1282   0.8405     2897
             conor   0.0890   0.0684   0.0008   0.9062   0.0837   0.8847     2897
     interp_clim_a   0.0920   0.0708  -0.0098   0.8351   0.1360   0.8799     2897
     interp_clim_b   0.0922   0.0709  -0.0098   0.8350   0.1361   0.8792     2897
     interp_clim_c   0.0922   0.0695  -0.0078   0.8442   0.1299   0.8779     2897
       whit_a_0p50   0.1085   0.0828  -0.0087   0.8456   0.1278   0.8292     2897
       whit_a_0p20   0.1057   0.0804  -0.0045   0.8668   0.1133   0.8380     2897
       whit_a_0p10   0.1050   0.0799  -0.0029   0.8766   0.1063   0.8403     2897
       whit_a_0p05   0.1052   0.0801  -0.0020   0.8826   0.1018   0.8404     2897
       whit_a_0p01   0.1060   0.0810  -0.0013   0.8887   0.0972   0.8385     2897

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1652   0.1262   0.0356   0.6700   0.2426   0.5881     2888
        climo_mean   0.1393   0.1090  -0.0047   0.6756   0.1987   0.6848     2888
      climo_median   0.1423   0.1040  -0.0106   0.6967   0.1796   0.6731     2888
             conor   0.1296   0.1010  -0.0020   0.7642   0.1458   0.7285     2888
     interp_clim_a   0.1349   0.1051   0.0154   0.6728   0.2207   0.7096     2888
     interp_clim_b   0.1393   0.1074   0.0183   0.6680   0.2265   0.6903     2888
     interp_clim_c   0.1349   0.1034   0.0125   0.6833   0.2111   0.7071     2888
       whit_a_0p50   0.1670   0.1274   0.0177   0.6772   0.2202   0.5712     2888
       whit_a_0p20   0.1674   0.1271   0.0088   0.6995   0.1972   0.5731     2888
       whit_a_0p10   0.1689   0.1278   0.0048   0.7121   0.1853   0.5712     2888
       whit_a_0p05   0.1706   0.1290   0.0023   0.7209   0.1774   0.5680     2888
       whit_a_0p01   0.1733   0.1308  -0.0001   0.7302   0.1691   0.5620     2888

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1905   0.1427   0.0412   0.5751   0.2789   0.4345     2389
        climo_mean   0.1567   0.1228  -0.0030   0.5686   0.2384   0.5661     2389
      climo_median   0.1642   0.1170  -0.0099   0.5810   0.2246   0.5304     2389
             conor   0.1454   0.1135   0.0043   0.6699   0.1890   0.6295     2389
     interp_clim_a   0.1559   0.1207   0.0191   0.5718   0.2587   0.5770     2389
     interp_clim_b   0.1657   0.1262   0.0257   0.5656   0.2688   0.5288     2389
     interp_clim_c   0.1578   0.1195   0.0156   0.5781   0.2517   0.5648     2389
       whit_a_0p50   0.1916   0.1448   0.0065   0.5628   0.2512   0.4096     2389
       whit_a_0p20   0.1933   0.1459  -0.0015   0.5806   0.2332   0.4106     2389
       whit_a_0p10   0.1956   0.1475  -0.0037   0.5910   0.2251   0.4072     2389
       whit_a_0p05   0.1980   0.1493  -0.0043   0.5987   0.2202   0.4029     2389
       whit_a_0p01   0.2015   0.1520  -0.0042   0.6074   0.2155   0.3959     2389

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1665   0.1248   0.0102   0.6876   0.2495   0.6673     2897
        climo_mean   0.1192   0.0910  -0.0023   0.8245   0.1322   0.8287     2897
      climo_median   0.1220   0.0863  -0.0028   0.8491   0.1128   0.8214     2897
             conor   0.1130   0.0860  -0.0002   0.8580   0.1086   0.8461     2897
     interp_clim_a   0.1254   0.0959   0.0040   0.7560   0.1908   0.8147     2897
     interp_clim_b   0.1294   0.0977   0.0061   0.7492   0.1982   0.8019     2897
     interp_clim_c   0.1250   0.0941   0.0037   0.7683   0.1811   0.8142     2897
       whit_a_0p50   0.1665   0.1240   0.0079   0.7457   0.2026   0.6739     2897
       whit_a_0p20   0.1659   0.1232   0.0068   0.7762   0.1782   0.6816     2897
       whit_a_0p10   0.1669   0.1236   0.0062   0.7904   0.1667   0.6817     2897
