MGRS: 10T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1295   0.0955  -0.0013   0.8496   0.1026   0.8329     5390
        climo_mean   0.1364   0.1013  -0.0003   0.8089   0.1317   0.8145     5390
      climo_median   0.1401   0.0970   0.0003   0.8317   0.1166   0.8050     5390
             conor   0.1149   0.0854  -0.0008   0.8896   0.0754   0.8687     5390
     interp_clim_a   0.1171   0.0879  -0.0008   0.8293   0.1172   0.8646     5390
     interp_clim_b   0.1177   0.0881  -0.0009   0.8301   0.1165   0.8631     5390
     interp_clim_c   0.1174   0.0862  -0.0005   0.8406   0.1096   0.8630     5390
       whit_a_0p50   0.1327   0.0983  -0.0009   0.8545   0.0996   0.8253     5390
       whit_a_0p20   0.1326   0.0974  -0.0010   0.8668   0.0911   0.8264     5390
       whit_a_0p10   0.1336   0.0978  -0.0011   0.8731   0.0866   0.8248     5390
       whit_a_0p05   0.1348   0.0984  -0.0011   0.8774   0.0836   0.8222     5390
       whit_a_0p01   0.1371   0.0999  -0.0013   0.8819   0.0803   0.8176     5390

Randomly drop one datapoint during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1017   0.0766  -0.0042   0.8986   0.0683   0.9051     5388
        climo_mean   0.1207   0.0865   0.0035   0.8654   0.0998   0.8664     5388
      climo_median   0.1247   0.0824   0.0078   0.8837   0.0909   0.8585     5388
             conor   0.0884   0.0665   0.0024   0.9423   0.0436   0.9285     5388
     interp_clim_a   0.0961   0.0722  -0.0003   0.8820   0.0840   0.9166     5388
     interp_clim_b   0.0961   0.0722  -0.0005   0.8821   0.0838   0.9164     5388
     interp_clim_c   0.0968   0.0706   0.0018   0.8912   0.0796   0.9146     5388
       whit_a_0p50   0.1048   0.0789  -0.0025   0.9079   0.0634   0.8993     5388
       whit_a_0p20   0.1031   0.0772  -0.0014   0.9213   0.0548   0.9028     5388
       whit_a_0p10   0.1031   0.0771  -0.0009   0.9278   0.0507   0.9030     5388
       whit_a_0p05   0.1038   0.0775  -0.0006   0.9320   0.0481   0.9021     5388
       whit_a_0p01   0.1054   0.0787  -0.0002   0.9360   0.0456   0.8995     5388

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1570   0.1204   0.0105   0.7858   0.1500   0.7333     5364
        climo_mean   0.1529   0.1177   0.0017   0.7306   0.1772   0.7426     5364
      climo_median   0.1586   0.1136  -0.0025   0.7503   0.1602   0.7237     5364
             conor   0.1405   0.1083   0.0016   0.8248   0.1158   0.7847     5364
     interp_clim_a   0.1397   0.1082   0.0061   0.7582   0.1636   0.7865     5364
     interp_clim_b   0.1407   0.1087   0.0067   0.7600   0.1630   0.7832     5364
     interp_clim_c   0.1412   0.1071   0.0040   0.7681   0.1551   0.7808     5364
       whit_a_0p50   0.1601   0.1233   0.0082   0.7832   0.1495   0.7232     5364
       whit_a_0p20   0.1613   0.1236   0.0070   0.7953   0.1404   0.7213     5364
       whit_a_0p10   0.1631   0.1245   0.0062   0.8026   0.1349   0.7175     5364
       whit_a_0p05   0.1649   0.1258   0.0057   0.8079   0.1309   0.7132     5364
       whit_a_0p01   0.1679   0.1279   0.0051   0.8139   0.1264   0.7062     5364

Randomly drop one datapoint during the winter (Dec-Feb)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1786   0.1371   0.0085   0.7211   0.1928   0.6428     4760
        climo_mean   0.1693   0.1326  -0.0086   0.6517   0.2215   0.6710     4760
      climo_median   0.1750   0.1274  -0.0157   0.6728   0.2005   0.6508     4760
             conor   0.1584   0.1231  -0.0060   0.7511   0.1585   0.7132     4760
     interp_clim_a   0.1581   0.1236  -0.0000   0.6864   0.2072   0.7127     4760
     interp_clim_b   0.1602   0.1247   0.0012   0.6901   0.2060   0.7046     4760
     interp_clim_c   0.1597   0.1223  -0.0036   0.6970   0.1967   0.7062     4760
       whit_a_0p50   0.1819   0.1404   0.0083   0.7169   0.1953   0.6311     4760
