MGRS: 
NLCD: 81

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1146   0.0866   0.0019   0.8098   0.1241   0.8144    12544
        climo_mean   0.1229   0.0931   0.0010   0.7837   0.1400   0.7862    12544
      climo_median   0.1261   0.0896   0.0021   0.8085   0.1251   0.7764    12544
             conor   0.0965   0.0732  -0.0001   0.8914   0.0697   0.8689    12544
     interp_clim_a   0.1037   0.0795   0.0015   0.7968   0.1320   0.8515    12544
     interp_clim_b   0.1044   0.0798   0.0019   0.7959   0.1330   0.8492    12544
     interp_clim_c   0.1041   0.0782   0.0020   0.8091   0.1246   0.8487    12544
       whit_a_0p50   0.1157   0.0874   0.0014   0.8286   0.1115   0.8111    12544
       whit_a_0p20   0.1142   0.0857   0.0011   0.8524   0.0960   0.8172    12544
       whit_a_0p10   0.1143   0.0855   0.0010   0.8641   0.0883   0.8179    12544
       whit_a_0p05   0.1150   0.0860   0.0008   0.8717   0.0832   0.8167    12544
       whit_a_0p01   0.1166   0.0872   0.0006   0.8794   0.0781   0.8132    12544

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1032   0.0786  -0.0119   0.8373   0.1072   0.8425    12544
        climo_mean   0.1203   0.0897   0.0023   0.7855   0.1592   0.7830    12544
      climo_median   0.1240   0.0867   0.0072   0.8093   0.1467   0.7719    12544
             conor   0.0864   0.0658   0.0011   0.9105   0.0666   0.8887    12544
     interp_clim_a   0.0965   0.0743  -0.0048   0.8114   0.1332   0.8638    12544
     interp_clim_b   0.0966   0.0744  -0.0048   0.8113   0.1333   0.8636    12544
     interp_clim_c   0.0971   0.0730  -0.0023   0.8233   0.1269   0.8602    12544
       whit_a_0p50   0.1056   0.0802  -0.0053   0.8485   0.1056   0.8336    12544
       whit_a_0p20   0.1028   0.0777  -0.0020   0.8704   0.0928   0.8425    12544
       whit_a_0p10   0.1021   0.0770  -0.0007   0.8814   0.0860   0.8453    12544
       whit_a_0p05   0.1021   0.0770  -0.0000   0.8885   0.0815   0.8459    12544
       whit_a_0p01   0.1029   0.0776   0.0006   0.8957   0.0769   0.8444    12544

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1298   0.0988   0.0197   0.7553   0.1500   0.6840    12516
        climo_mean   0.1271   0.0976  -0.0007   0.6828   0.1683   0.6828    12516
      climo_median   0.1312   0.0937  -0.0044   0.6979   0.1566   0.6642    12516
             conor   0.1108   0.0845  -0.0035   0.8076   0.0991   0.7620    12516
     interp_clim_a   0.1139   0.0878   0.0095   0.7191   0.1592   0.7480    12516
     interp_clim_b   0.1154   0.0887   0.0107   0.7189   0.1605   0.7415    12516
     interp_clim_c   0.1149   0.0867   0.0076   0.7266   0.1533   0.7423    12516
       whit_a_0p50   0.1300   0.0987   0.0091   0.7633   0.1352   0.6799    12516
       whit_a_0p20   0.1301   0.0983   0.0039   0.7800   0.1211   0.6820    12516
       whit_a_0p10   0.1313   0.0991   0.0018   0.7890   0.1142   0.6792    12516
       whit_a_0p05   0.1329   0.1002   0.0005   0.7950   0.1097   0.6747    12516
       whit_a_0p01   0.1355   0.1021  -0.0007   0.8010   0.1053   0.6666    12516

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1387   0.1052   0.0307   0.6923   0.1729   0.6066    10937
        climo_mean   0.1317   0.1014   0.0016   0.6088   0.1824   0.6158    10937
      climo_median   0.1359   0.0966  -0.0046   0.6205   0.1708   0.5928    10937
             conor   0.1186   0.0906   0.0002   0.7448   0.1182   0.6923    10937
     interp_clim_a   0.1212   0.0932   0.0161   0.6505   0.1776   0.6817    10937
     interp_clim_b   0.1239   0.0948   0.0184   0.6504   0.1799   0.6677    10937
     interp_clim_c   0.1221   0.0919   0.0131   0.6564   0.1719   0.6741    10937
       whit_a_0p50   0.1374   0.1038   0.0163   0.6936   0.1579   0.6017    10937
       whit_a_0p20   0.1382   0.1038   0.0090   0.7070   0.1444   0.5984    10937
       whit_a_0p10   0.1399   0.1049   0.0061   0.7147   0.1380   0.5922    10937
       whit_a_0p05   0.1419   0.1064   0.0046   0.7201   0.1339   0.5852    10937
       whit_a_0p01   0.1450   0.1087   0.0033   0.7262   0.1299   0.5746    10937

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1399   0.1074   0.0032   0.7299   0.1755   0.7205    12544
        climo_mean   0.1240   0.0939  -0.0012   0.7800   0.1392   0.7803    12544
      climo_median   0.1280   0.0908   0.0001   0.8026   0.1260   0.7673    12544
             conor   0.1055   0.0803  -0.0020   0.8418   0.0989   0.8409    12544
     interp_clim_a   0.1152   0.0891   0.0010   0.7550   0.1574   0.8147    12544
     interp_clim_b   0.1164   0.0898   0.0018   0.7524   0.1598   0.8105    12544
     interp_clim_c   0.1157   0.0882   0.0016   0.7663   0.1508   0.8110    12544
       whit_a_0p50   0.1395   0.1061   0.0022   0.7762   0.1450   0.7253    12544
       whit_a_0p20   0.1394   0.1052   0.0019   0.8024   0.1280   0.7295    12544
       whit_a_0p10   0.1406   0.1058   0.0017   0.8151   0.1197   0.7279    12544
       whit_a_0p05   0.1422   0.1068   0.0015   0.8231   0.1144   0.7244    12544
       whit_a_0p01   0.1449   0.1086   0.0012   0.8311   0.1090   0.7176    12544

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1274   0.0981  -0.0291   0.7812   0.1309   0.7729    12544
        climo_mean   0.1199   0.0890   0.0026   0.7857   0.1593   0.7877    12544
      climo_median   0.1234   0.0859   0.0077   0.8089   0.1475   0.7773    12544
             conor   0.0960   0.0727   0.0010   0.8584   0.1046   0.8639    12544
     interp_clim_a   0.1065   0.0819  -0.0133   0.7834   0.1451   0.8387    12544
     interp_clim_b   0.1066   0.0820  -0.0133   0.7832   0.1453   0.8384    12544
     interp_clim_c   0.1066   0.0804  -0.0107   0.7950   0.1392   0.8357    12544
       whit_a_0p50   0.1287   0.0975  -0.0143   0.8140   0.1217   0.7619    12544
       whit_a_0p20   0.1274   0.0961  -0.0098   0.8380   0.1087   0.7678    12544
       whit_a_0p10   0.1277   0.0963  -0.0079   0.8499   0.1019   0.7684    12544
       whit_a_0p05   0.1286   0.0970  -0.0068   0.8575   0.0975   0.7671    12544
       whit_a_0p01   0.1304   0.0984  -0.0058   0.8648   0.0931   0.7630    12544

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1529   0.1172   0.0439   0.7089   0.1981   0.5948    12516
        climo_mean   0.1312   0.1013  -0.0020   0.6538   0.1814   0.6576    12516
      climo_median   0.1351   0.0975  -0.0055   0.6715   0.1684   0.6391    12516
             conor   0.1171   0.0901  -0.0033   0.7343   0.1374   0.7273    12516
     interp_clim_a   0.1256   0.0971   0.0209   0.6813   0.1897   0.6952    12516
     interp_clim_b   0.1281   0.0986   0.0232   0.6796   0.1928   0.6843    12516
     interp_clim_c   0.1262   0.0959   0.0192   0.6902   0.1833   0.6905    12516
       whit_a_0p50   0.1519   0.1161   0.0250   0.7250   0.1707   0.5863    12516
       whit_a_0p20   0.1528   0.1164   0.0184   0.7434   0.1543   0.5851    12516
