MGRS: 17S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1101   0.0839  -0.0007   0.8374   0.1264   0.8549     7742
        climo_mean   0.1214   0.0893  -0.0038   0.8266   0.1317   0.8232     7742
      climo_median   0.1251   0.0857   0.0020   0.8447   0.1234   0.8134     7742
             conor   0.0943   0.0718  -0.0020   0.9179   0.0622   0.8939     7742
     interp_clim_a   0.1008   0.0767  -0.0023   0.8320   0.1290   0.8809     7742
     interp_clim_b   0.1009   0.0768  -0.0020   0.8314   0.1298   0.8807     7742
     interp_clim_c   0.1015   0.0755   0.0006   0.8410   0.1249   0.8779     7742
       whit_a_0p50   0.1106   0.0843  -0.0006   0.8614   0.1078   0.8534     7742
       whit_a_0p20   0.1094   0.0831  -0.0005   0.8818   0.0918   0.8571     7742
       whit_a_0p10   0.1097   0.0832  -0.0006   0.8912   0.0845   0.8570     7742
       whit_a_0p05   0.1105   0.0838  -0.0006   0.8970   0.0799   0.8555     7742
       whit_a_0p01   0.1121   0.0851  -0.0007   0.9025   0.0755   0.8521     7742

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0949   0.0727  -0.0194   0.8748   0.0945   0.8728     7742
        climo_mean   0.1109   0.0798  -0.0014   0.8184   0.1637   0.8184     7742
      climo_median   0.1151   0.0763   0.0091   0.8294   0.1642   0.8064     7742
             conor   0.0793   0.0606  -0.0007   0.9291   0.0638   0.9077     7742
     interp_clim_a   0.0881   0.0673  -0.0104   0.8466   0.1291   0.8891     7742
     interp_clim_b   0.0881   0.0673  -0.0105   0.8466   0.1290   0.8892     7742
     interp_clim_c   0.0886   0.0658  -0.0052   0.8521   0.1293   0.8859     7742
       whit_a_0p50   0.0959   0.0735  -0.0102   0.8889   0.0908   0.8665     7742
       whit_a_0p20   0.0940   0.0719  -0.0057   0.9027   0.0827   0.8711     7742
       whit_a_0p10   0.0939   0.0718  -0.0039   0.9090   0.0789   0.8718     7742
       whit_a_0p05   0.0943   0.0722  -0.0028   0.9128   0.0765   0.8709     7742
       whit_a_0p01   0.0955   0.0732  -0.0017   0.9164   0.0743   0.8681     7742

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1292   0.0989   0.0242   0.7797   0.1648   0.7417     7739
        climo_mean   0.1289   0.0980  -0.0015   0.7310   0.1702   0.7316     7739
      climo_median   0.1328   0.0948  -0.0003   0.7473   0.1610   0.7164     7739
             conor   0.1095   0.0847   0.0015   0.8557   0.0936   0.8090     7739
     interp_clim_a   0.1130   0.0876   0.0113   0.7553   0.1675   0.7980     7739
     interp_clim_b   0.1135   0.0878   0.0119   0.7547   0.1684   0.7962     7739
     interp_clim_c   0.1140   0.0867   0.0119   0.7635   0.1629   0.7936     7739
       whit_a_0p50   0.1281   0.0984   0.0139   0.7872   0.1498   0.7410     7739
       whit_a_0p20   0.1277   0.0980   0.0090   0.8067   0.1324   0.7434     7739
       whit_a_0p10   0.1285   0.0986   0.0069   0.8168   0.1239   0.7419     7739
       whit_a_0p05   0.1297   0.0995   0.0056   0.8235   0.1183   0.7388     7739
       whit_a_0p01   0.1318   0.1012   0.0043   0.8304   0.1126   0.7327     7739

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1298   0.0990   0.0294   0.7697   0.1592   0.6889     7630
        climo_mean   0.1308   0.0999   0.0014   0.6624   0.1918   0.6568     7630
      climo_median   0.1347   0.0967   0.0010   0.6761   0.1836   0.6385     7630
             conor   0.1132   0.0877   0.0021   0.8027   0.1133   0.7471     7630
     interp_clim_a   0.1157   0.0892   0.0154   0.7160   0.1755   0.7367     7630
     interp_clim_b   0.1166   0.0896   0.0164   0.7156   0.1768   0.7331     7630
     interp_clim_c   0.1168   0.0884   0.0152   0.7229   0.1714   0.7312     7630
       whit_a_0p50   0.1286   0.0980   0.0116   0.7790   0.1362   0.6842     7630
       whit_a_0p20   0.1295   0.0985   0.0042   0.7860   0.1249   0.6805     7630
       whit_a_0p10   0.1309   0.0996   0.0018   0.7899   0.1202   0.6756     7630
       whit_a_0p05   0.1325   0.1009   0.0007   0.7928   0.1175   0.6702     7630
       whit_a_0p01   0.1350   0.1029   0.0000   0.7960   0.1150   0.6616     7630

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1350   0.1037   0.0035   0.7622   0.1866   0.7846     7742
        climo_mean   0.1223   0.0899  -0.0010   0.8235   0.1350   0.8226     7742
      climo_median   0.1265   0.0865   0.0056   0.8403   0.1286   0.8116     7742
             conor   0.1007   0.0765  -0.0003   0.8788   0.0930   0.8796     7742
     interp_clim_a   0.1109   0.0853   0.0013   0.7929   0.1608   0.8593     7742
     interp_clim_b   0.1114   0.0857   0.0017   0.7914   0.1623   0.8579     7742
     interp_clim_c   0.1114   0.0842   0.0045   0.8012   0.1576   0.8566     7742
       whit_a_0p50   0.1318   0.1007   0.0026   0.8178   0.1429   0.7946     7742
       whit_a_0p20   0.1325   0.1011   0.0019   0.8410   0.1244   0.7944     7742
       whit_a_0p10   0.1342   0.1022   0.0015   0.8513   0.1161   0.7909     7742
       whit_a_0p05   0.1361   0.1036   0.0012   0.8573   0.1111   0.7865     7742
       whit_a_0p01   0.1392   0.1059   0.0008   0.8628   0.1064   0.7791     7742

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1185   0.0918  -0.0442   0.8323   0.1089   0.8211     7742
        climo_mean   0.1129   0.0808  -0.0008   0.8039   0.1783   0.8113     7742
      climo_median   0.1171   0.0771   0.0099   0.8156   0.1783   0.7986     7742
             conor   0.0876   0.0659   0.0001   0.8770   0.1125   0.8863     7742
     interp_clim_a   0.0984   0.0756  -0.0225   0.8181   0.1436   0.8666     7742
     interp_clim_b   0.0986   0.0757  -0.0227   0.8180   0.1436   0.8664     7742
     interp_clim_c   0.0982   0.0736  -0.0171   0.8240   0.1436   0.8633     7742
       whit_a_0p50   0.1166   0.0892  -0.0242   0.8597   0.1039   0.8101     7742
       whit_a_0p20   0.1160   0.0888  -0.0184   0.8766   0.0943   0.8108     7742
       whit_a_0p10   0.1166   0.0893  -0.0159   0.8846   0.0895   0.8092     7742
       whit_a_0p05   0.1177   0.0902  -0.0145   0.8897   0.0863   0.8064     7742
       whit_a_0p01   0.1198   0.0918  -0.0132   0.8945   0.0832   0.8009     7742

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1488   0.1148   0.0500   0.7586   0.2019   0.6801     7739
        climo_mean   0.1305   0.0989  -0.0012   0.7127   0.1796   0.7145     7739
      climo_median   0.1344   0.0962   0.0005   0.7297   0.1706   0.6988     7739
             conor   0.1119   0.0863  -0.0010   0.7977   0.1263   0.7904     7739
     interp_clim_a   0.1215   0.0943   0.0244   0.7357   0.1907   0.7635     7739
     interp_clim_b   0.1225   0.0948   0.0253   0.7343   0.1926   0.7602     7739
     interp_clim_c   0.1226   0.0939   0.0252   0.7441   0.1863   0.7589     7739
       whit_a_0p50   0.1453   0.1118   0.0272   0.7760   0.1682   0.6739     7739
       whit_a_0p20   0.1474   0.1130   0.0207   0.7960   0.1490   0.6676     7739
       whit_a_0p10   0.1501   0.1149   0.0179   0.8062   0.1399   0.6601     7739
       whit_a_0p05   0.1528   0.1169   0.0163   0.8127   0.1342   0.6524     7739
       whit_a_0p01   0.1568   0.1198   0.0147   0.8191   0.1285   0.6409     7739

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1565   0.1212   0.0024   0.6985   0.2363   0.7028     7742
        climo_mean   0.1206   0.0891  -0.0025   0.8238   0.1341   0.8235     7742
      climo_median   0.1250   0.0862   0.0035   0.8401   0.1275   0.8115     7742
             conor   0.1053   0.0794  -0.0011   0.8623   0.1057   0.8654     7742
     interp_clim_a   0.1185   0.0919  -0.0001   0.7611   0.1852   0.8365     7742
     interp_clim_b   0.1194   0.0925   0.0004   0.7586   0.1877   0.8339     7742
     interp_clim_c   0.1187   0.0909   0.0029   0.7693   0.1819   0.8341     7742
       whit_a_0p50   0.1489   0.1136   0.0022   0.7804   0.1725   0.7338     7742
       whit_a_0p20   0.1510   0.1149   0.0017   0.8061   0.1521   0.7310     7742
       whit_a_0p10   0.1538   0.1170   0.0013   0.8173   0.1430   0.7247     7742
       whit_a_0p05   0.1567   0.1192   0.0010   0.8238   0.1376   0.7177     7742
       whit_a_0p01   0.1609   0.1225   0.0006   0.8297   0.1327   0.7071     7742

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1450   0.1124  -0.0622   0.7760   0.1400   0.7530     7742
        climo_mean   0.1144   0.0820  -0.0006   0.8086   0.1722   0.8113     7742
      climo_median   0.1189   0.0780   0.0096   0.8207   0.1715   0.7981     7742
             conor   0.0964   0.0713   0.0005   0.8550   0.1314   0.8661     7742
     interp_clim_a   0.1094   0.0846  -0.0314   0.7923   0.1561   0.8447     7742
     interp_clim_b   0.1097   0.0848  -0.0317   0.7918   0.1563   0.8440     7742
     interp_clim_c   0.1085   0.0823  -0.0263   0.7984   0.1557   0.8425     7742
       whit_a_0p50   0.1390   0.1047  -0.0310   0.8245   0.1275   0.7440     7742
       whit_a_0p20   0.1402   0.1051  -0.0243   0.8418   0.1185   0.7393     7742
       whit_a_0p10   0.1422   0.1065  -0.0219   0.8494   0.1141   0.7334     7742
       whit_a_0p05   0.1444   0.1081  -0.0207   0.8539   0.1112   0.7273     7742
       whit_a_0p01   0.1478   0.1109  -0.0198   0.8579   0.1085   0.7178     7742

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1677   0.1299   0.0692   0.7281   0.2438   0.6448     7739
        climo_mean   0.1274   0.0961  -0.0015   0.7449   0.1623   0.7453     7739
      climo_median   0.1315   0.0930   0.0011   0.7626   0.1536   0.7299     7739
             conor   0.1133   0.0864  -0.0008   0.7977   0.1292   0.7987     7739
     interp_clim_a   0.1268   0.0977   0.0339   0.7365   0.2031   0.7668     7739
     interp_clim_b   0.1281   0.0986   0.0352   0.7341   0.2059   0.7628     7739
     interp_clim_c   0.1278   0.0974   0.0352   0.7454   0.1987   0.7635     7739
       whit_a_0p50   0.1590   0.1224   0.0364   0.7636   0.1882   0.6456     7739
       whit_a_0p20   0.1615   0.1240   0.0288   0.7867   0.1658   0.6383     7739
       whit_a_0p10   0.1648   0.1267   0.0257   0.7985   0.1551   0.6294     7739
       whit_a_0p05   0.1682   0.1294   0.0238   0.8061   0.1483   0.6205     7739
       whit_a_0p01   0.1730   0.1333   0.0219   0.8137   0.1416   0.6078     7739

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1777   0.1396   0.0052   0.6398   0.2835   0.6200     7742
        climo_mean   0.1214   0.0890  -0.0023   0.8280   0.1306   0.8223     7742
      climo_median   0.1258   0.0861   0.0039   0.8468   0.1222   0.8110     7742
             conor   0.1090   0.0816  -0.0010   0.8567   0.1097   0.8568     7742
     interp_clim_a   0.1265   0.0991   0.0015   0.7339   0.2070   0.8152     7742
     interp_clim_b   0.1277   0.0999   0.0022   0.7305   0.2104   0.8115     7742
     interp_clim_c   0.1263   0.0978   0.0046   0.7433   0.2029   0.8140     7742
       whit_a_0p50   0.1656   0.1268   0.0036   0.7410   0.2036   0.6758     7742
       whit_a_0p20   0.1679   0.1281   0.0032   0.7716   0.1796   0.6742     7742
