MGRS: 19T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1438   0.1092   0.0065   0.7534   0.2160   0.7651     2455
        climo_mean   0.1263   0.0933  -0.0025   0.8022   0.1655   0.8186     2455
      climo_median   0.1287   0.0884   0.0007   0.8260   0.1484   0.8115     2455
             conor   0.1166   0.0879  -0.0005   0.8673   0.1122   0.8457     2455
     interp_clim_a   0.1198   0.0909   0.0020   0.7778   0.1907   0.8415     2455
     interp_clim_b   0.1215   0.0919   0.0033   0.7743   0.1950   0.8367     2455
     interp_clim_c   0.1198   0.0892   0.0036   0.7897   0.1822   0.8397     2455
       whit_a_0p50   0.1436   0.1095   0.0049   0.7836   0.1887   0.7659     2455
       whit_a_0p20   0.1418   0.1078   0.0049   0.8122   0.1644   0.7732     2455
       whit_a_0p10   0.1422   0.1078   0.0048   0.8259   0.1528   0.7735     2455
       whit_a_0p05   0.1432   0.1084   0.0048   0.8344   0.1454   0.7717     2455
       whit_a_0p01   0.1454   0.1097   0.0046   0.8428   0.1381   0.7670     2455

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1240   0.0925  -0.0174   0.7869   0.1834   0.8008     2455
        climo_mean   0.1113   0.0818  -0.0042   0.8157   0.1696   0.8370     2455
      climo_median   0.1151   0.0790   0.0017   0.8299   0.1620   0.8249     2455
             conor   0.0964   0.0722  -0.0014   0.8870   0.1051   0.8773     2455
     interp_clim_a   0.1035   0.0776  -0.0108   0.8013   0.1765   0.8644     2455
     interp_clim_b   0.1040   0.0779  -0.0107   0.7996   0.1783   0.8631     2455
     interp_clim_c   0.1042   0.0765  -0.0079   0.8084   0.1727   0.8603     2455
       whit_a_0p50   0.1234   0.0924  -0.0116   0.8069   0.1704   0.8005     2455
       whit_a_0p20   0.1218   0.0905  -0.0067   0.8274   0.1560   0.8049     2455
       whit_a_0p10   0.1223   0.0905  -0.0045   0.8372   0.1490   0.8038     2455
       whit_a_0p05   0.1233   0.0911  -0.0032   0.8433   0.1446   0.8012     2455
       whit_a_0p01   0.1253   0.0925  -0.0020   0.8492   0.1401   0.7961     2455

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1817   0.1387   0.0476   0.6863   0.2651   0.5754     2391
        climo_mean   0.1519   0.1160  -0.0005   0.6593   0.2358   0.6652     2391
      climo_median   0.1565   0.1116  -0.0023   0.6817   0.2185   0.6467     2391
             conor   0.1453   0.1120  -0.0027   0.7463   0.1732   0.6971     2391
     interp_clim_a   0.1497   0.1153   0.0235   0.6728   0.2504   0.6828     2391
     interp_clim_b   0.1536   0.1178   0.0265   0.6701   0.2552   0.6677     2391
     interp_clim_c   0.1506   0.1142   0.0226   0.6840   0.2418   0.6785     2391
       whit_a_0p50   0.1815   0.1391   0.0325   0.7027   0.2386   0.5687     2391
       whit_a_0p20   0.1810   0.1381   0.0216   0.7291   0.2094   0.5737     2391
       whit_a_0p10   0.1825   0.1389   0.0163   0.7436   0.1941   0.5722     2391
       whit_a_0p05   0.1845   0.1404   0.0130   0.7533   0.1840   0.5685     2391
       whit_a_0p01   0.1880   0.1430   0.0095   0.7632   0.1737   0.5612     2391

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1983   0.1517   0.0575   0.5635   0.3014   0.3883     1462
        climo_mean   0.1605   0.1251   0.0090   0.5199   0.2772   0.5078     1462
      climo_median   0.1637   0.1191   0.0026   0.5456   0.2564   0.4922     1462
             conor   0.1582   0.1215   0.0074   0.6158   0.2220   0.5337     1462
     interp_clim_a   0.1628   0.1262   0.0333   0.5417   0.2893   0.5143     1462
     interp_clim_b   0.1709   0.1318   0.0398   0.5402   0.2967   0.4784     1462
     interp_clim_c   0.1630   0.1245   0.0300   0.5545   0.2789   0.5116     1462
       whit_a_0p50   0.1926   0.1475   0.0260   0.5616   0.2709   0.3841     1462
       whit_a_0p20   0.1932   0.1477   0.0117   0.5829   0.2448   0.3868     1462
       whit_a_0p10   0.1958   0.1495   0.0062   0.5953   0.2323   0.3830     1462
       whit_a_0p05   0.1990   0.1519   0.0034   0.6044   0.2244   0.3775     1462
       whit_a_0p01   0.2038   0.1558   0.0014   0.6147   0.2167   0.3683     1462

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1816   0.1376   0.0173   0.6646   0.2954   0.6358     2455
        climo_mean   0.1311   0.0981  -0.0001   0.7968   0.1684   0.8080     2455
      climo_median   0.1348   0.0946   0.0010   0.8188   0.1512   0.7975     2455
             conor   0.1248   0.0952   0.0007   0.8322   0.1398   0.8260     2455
     interp_clim_a   0.1377   0.1052   0.0086   0.7307   0.2319   0.7938     2455
     interp_clim_b   0.1413   0.1072   0.0108   0.7233   0.2402   0.7827     2455
     interp_clim_c   0.1376   0.1041   0.0092   0.7417   0.2233   0.7925     2455
       whit_a_0p50   0.1783   0.1348   0.0138   0.7283   0.2390   0.6550     2455
       whit_a_0p20   0.1787   0.1348   0.0120   0.7601   0.2109   0.6597     2455
       whit_a_0p10   0.1808   0.1363   0.0109   0.7740   0.1983   0.6569     2455
       whit_a_0p05   0.1830   0.1380   0.0102   0.7823   0.1907   0.6526     2455
       whit_a_0p01   0.1864   0.1407   0.0093   0.7902   0.1833   0.6453     2455

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1538   0.1170  -0.0331   0.7302   0.2200   0.6817     2455
        climo_mean   0.1135   0.0842  -0.0014   0.8054   0.1812   0.8163     2455
      climo_median   0.1160   0.0812   0.0038   0.8226   0.1703   0.8085     2455
             conor   0.1019   0.0774  -0.0008   0.8455   0.1441   0.8520     2455
     interp_clim_a   0.1149   0.0877  -0.0172   0.7678   0.2006   0.8192     2455
     interp_clim_b   0.1156   0.0881  -0.0170   0.7661   0.2024   0.8166     2455
     interp_clim_c   0.1149   0.0868  -0.0147   0.7764   0.1951   0.8169     2455
       whit_a_0p50   0.1512   0.1143  -0.0156   0.7664   0.2036   0.6865     2455
       whit_a_0p20   0.1517   0.1146  -0.0104   0.7867   0.1897   0.6876     2455
       whit_a_0p10   0.1537   0.1159  -0.0082   0.7951   0.1841   0.6825     2455
       whit_a_0p05   0.1559   0.1176  -0.0070   0.7994   0.1813   0.6764     2455
       whit_a_0p01   0.1591   0.1200  -0.0059   0.8026   0.1793   0.6671     2455

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
