MGRS: 16S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1110   0.0846   0.0000   0.8354   0.1271   0.8565     8448
        climo_mean   0.1184   0.0871  -0.0004   0.8284   0.1321   0.8362     8448
      climo_median   0.1222   0.0836   0.0042   0.8487   0.1210   0.8263     8448
             conor   0.0953   0.0721  -0.0004   0.9127   0.0670   0.8943     8448
     interp_clim_a   0.1002   0.0763  -0.0002   0.8319   0.1296   0.8859     8448
     interp_clim_b   0.1002   0.0763  -0.0001   0.8320   0.1297   0.8860     8448
     interp_clim_c   0.1009   0.0751   0.0021   0.8420   0.1241   0.8829     8448
       whit_a_0p50   0.1110   0.0842  -0.0004   0.8593   0.1082   0.8560     8448
       whit_a_0p20   0.1103   0.0835  -0.0003   0.8789   0.0932   0.8582     8448
       whit_a_0p10   0.1110   0.0839  -0.0003   0.8878   0.0863   0.8571     8448
       whit_a_0p05   0.1121   0.0848  -0.0004   0.8934   0.0819   0.8548     8448
       whit_a_0p01   0.1142   0.0865  -0.0005   0.8989   0.0776   0.8503     8448

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0959   0.0730  -0.0182   0.8653   0.1048   0.8764     8448
        climo_mean   0.1111   0.0778   0.0008   0.8167   0.1683   0.8279     8448
      climo_median   0.1156   0.0746   0.0098   0.8310   0.1642   0.8151     8448
             conor   0.0811   0.0609   0.0006   0.9213   0.0725   0.9083     8448
     interp_clim_a   0.0896   0.0670  -0.0087   0.8410   0.1366   0.8920     8448
     interp_clim_b   0.0895   0.0670  -0.0088   0.8412   0.1363   0.8922     8448
     interp_clim_c   0.0903   0.0658  -0.0042   0.8481   0.1345   0.8881     8448
       whit_a_0p50   0.0970   0.0733  -0.0089   0.8777   0.1028   0.8698     8448
       whit_a_0p20   0.0952   0.0718  -0.0041   0.8926   0.0940   0.8741     8448
       whit_a_0p10   0.0951   0.0717  -0.0021   0.8997   0.0895   0.8744     8448
       whit_a_0p05   0.0957   0.0722  -0.0009   0.9041   0.0867   0.8733     8448
       whit_a_0p01   0.0971   0.0734   0.0001   0.9083   0.0839   0.8701     8448

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1244   0.0968   0.0181   0.7741   0.1610   0.7449     8448
        climo_mean   0.1283   0.0972  -0.0005   0.7143   0.1803   0.7215     8448
      climo_median   0.1317   0.0934  -0.0006   0.7379   0.1653   0.7080     8448
             conor   0.1099   0.0847  -0.0003   0.8386   0.1018   0.7979     8448
     interp_clim_a   0.1120   0.0871   0.0088   0.7442   0.1706   0.7919     8448
     interp_clim_b   0.1121   0.0872   0.0089   0.7447   0.1704   0.7916     8448
     interp_clim_c   0.1127   0.0859   0.0088   0.7560   0.1631   0.7877     8448
